routeframecode,extendedcode,framealtcode,latitude,longitude,framesizefamilycode,framesizename,productformatname,digital,modeltype,productformatmarketingname,revenuestreamname,channelname,visualunitcode,visualunitname,linkedassetcode,linkedassetname,geographicalareacode,geographicalareaname,geolevelname,startdate,enddate,maxstatusdate,tvareacode,tvareaname,conurbationcode,routetowncode,routetownname,districtcode,sitecode,furnitureindex,address,postcode,postalsector,businessareacode,businessareagroupcode,productformatmarketingcode,revenuestreamcode,activestatus,currentstatus,businessareaname,conurbation,extid,fsizename,productformatcode,sitenumber,medialength,dayframe
NS4225KI.CP,NS4225KI.CP,30648186,40.7509,-73.990376,formattype0,Newsstand Digital 84,NYSF Newsstand Digital,1,Digital,default,NY - Newsstand,New York Street,NS4225KI,NS4225KI,"","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2012-06-28,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.NS4225KI,NS4225KI,"34TH STREET, @ 7TH AVENUE (12W/K)",10001,10001,NYSF,NYSF,DEFAULT,NYNS,1,1,NY - Street Furniture,Non-Conurbation,8038,Default format type,NY-NEWS-DI,"",10.0,2022-03-23
MN0396AB.CI,MN0396AB.CI,14932344,40.76952,-73.981912,formattype0,Digital Bus Shelter 84inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2007-04-03,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.MN0396AB,MN0396AB,"BROADWAY, BETWEEN W 60 ST & W 61 ST",10023,10023,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,8039,Default format type,NY-AB-DIG,"",10.0,2022-03-23
BX03508AB.CO,BX03508AB.CO,30472715,40.8613,-73.8909,formattype0,Digital bus shelter 72inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1458,NYC-1458,Bronx,2008-06-09,2099-12-31,2099-12-31,A,USA,NONE,BRONX,BRONX,1458,S.BX03508AB,BX03508AB,"E. FORDHAM RD, @ 3RD AVE",10458,10458,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,8058,Default format type,NY-AB-DIG,"",10.0,2022-03-23
QN0334AB.CI,QN0334AB.CI,521795,40.75094,-73.819332,formattype0,Digital Bus Shelter 86in,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1461,NYC-1461,Queens,2007-11-30,2099-12-31,2099-12-31,A,USA,NONE,FLUSHING,FLUSHING,1461,S.QN0334AB,QN0334AB,"KISSENA BLVD, BETWEEN HOLLY AV & GERANIUM AV",11355,11355,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,8547,Default format type,NY-AB-DIG,"",10.0,2022-03-23
NS4008KI.CL,NS4008KI.CL,30454164,40.750782,-73.974738,formattype0,Newsstand Digital 84,NYSF Newsstand Digital,1,Digital,default,NY - Newsstand,New York Street,NS4008KI,NS4008KI,"","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2007-09-17,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.NS4008KI,NS4008KI,"42 ST, @ 3 AVE (12X6)",10017,10017,NYSF,NYSF,DEFAULT,NYNS,1,1,NY - Street Furniture,Non-Conurbation,8607,Default format type,NY-NEWS-DI,"",10.0,2022-03-23
NS4008KI.CP,NS4008KI.CP,30454165,40.750782,-73.974738,formattype0,Newsstand Digital 84,NYSF Newsstand Digital,1,Digital,default,NY - Newsstand,New York Street,NS4008KI,NS4008KI,"","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2007-09-17,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.NS4008KI,NS4008KI,"42 ST, @ 3 AVE (12X6)",10017,10017,NYSF,NYSF,DEFAULT,NYNS,1,1,NY - Street Furniture,Non-Conurbation,8610,Default format type,NY-NEWS-DI,"",10.0,2022-03-23
BR02395AB.CO,BR02395AB.CO,30826443,40.691413,-73.991145,formattype0,Digital bus shelter 72inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1459,NYC-1459,Brooklyn,2006-12-21,2099-12-31,2099-12-31,A,USA,NONE,BROOKLYN,BROOKLYN,1459,S.BR02395AB,BR02395AB,"LIVINGSTON ST, BETWEEN COURT ST & BOERUM PL",11201,11201,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,8637,Default format type,NY-AB-DIG,"",10.0,2022-03-23
MN01651AB.CO,MN01651AB.CO,30761955,40.74049,-73.97579,formattype0,Digital Bus Shelter 84inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2015-07-02,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.MN01651AB,MN01651AB,"1ST AV, @ E 29 ST",10016,10016,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,8946,Default format type,NY-AB-DIG,"",10.0,2022-03-23
MN0229AB.CO,MN0229AB.CO,520034,40.748921,-73.992298,formattype0,Digital Bus Shelter 84inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2007-08-31,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.MN0229AB,MN0229AB,"7TH AV, BETWEEN W 31 ST & W 30 ST",10001,10001,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,9176,Default format type,NY-AB-DIG,"",10.0,2022-03-23
MN0242AB.CI,MN0242AB.CI,520058,40.781074,-73.976278,formattype0,Digital Bus Shelter 84inch,NYSF Bus Shelter Digital,1,Digital,default,NY - Bus Shelter,New York Street,"","","","",NYC-1460-MN-B96,NYC-1460-MN-B96,Manhattan,2007-09-04,2099-12-31,2099-12-31,A,USA,NONE,NEW YORK,NEW YORK,1460,S.MN0242AB,MN0242AB,"COLUMBUS AV, BETWEEN W 78 ST & W 77 ST",10024,10024,NYSF,NYSF,DEFAULT,NYBS,1,1,NY - Street Furniture,Non-Conurbation,9201,Default format type,NY-AB-DIG,"",10.0,2022-03-23
